"","county","cluster_id","surv_year","month","n_traps","total_mos","total_trap_nights","mos_per_trap_night","species"
"110","Butte",10003,2007,8,1,8,7,1.14285714285714,"Cx. pipiens"
"111","Butte",10003,2008,4,1,2,14,0.142857142857143,"Cx. pipiens"
"112","Butte",10003,2008,5,1,4,14,0.285714285714286,"Cx. pipiens"
"113","Butte",10003,2008,6,1,32,21,1.52380952380952,"Cx. pipiens"
"114","Butte",10003,2009,4,1,3,21,0.142857142857143,"Cx. pipiens"
"115","Butte",10003,2009,5,1,9,21,0.428571428571429,"Cx. pipiens"
"116","Butte",10003,2009,6,1,22,28,0.785714285714286,"Cx. pipiens"
"117","Butte",10003,2009,7,1,44,14,3.14285714285714,"Cx. pipiens"
"118","Butte",10003,2009,8,1,60,28,2.14285714285714,"Cx. pipiens"
"119","Butte",10003,2009,9,1,4,7,0.571428571428571,"Cx. pipiens"
"120","Butte",10003,2009,10,1,5,14,0.357142857142857,"Cx. pipiens"
"121","Butte",10003,2009,11,1,1,7,0.142857142857143,"Cx. pipiens"
"122","Butte",10003,2010,4,1,2,14,0.142857142857143,"Cx. pipiens"
"123","Butte",10003,2010,5,1,8,21,0.380952380952381,"Cx. pipiens"
"124","Butte",10003,2010,6,1,1,7,0.142857142857143,"Cx. pipiens"
"125","Butte",10003,2010,7,1,152,14,10.8571428571429,"Cx. pipiens"
"126","Butte",10003,2010,8,1,17,28,0.607142857142857,"Cx. pipiens"
"127","Butte",10003,2010,9,1,28,28,1,"Cx. pipiens"
"128","Butte",10003,2010,10,1,28,21,1.33333333333333,"Cx. pipiens"
"129","Butte",10003,2010,11,1,6,14,0.428571428571429,"Cx. pipiens"
"130","Butte",10003,2011,5,1,1,7,0.142857142857143,"Cx. pipiens"
"131","Butte",10003,2011,6,1,15,21,0.714285714285714,"Cx. pipiens"
"132","Butte",10003,2011,7,1,32,21,1.52380952380952,"Cx. pipiens"
"133","Butte",10003,2011,8,1,12,7,1.71428571428571,"Cx. pipiens"
"134","Butte",10003,2011,10,1,3,7,0.428571428571429,"Cx. pipiens"
"135","Butte",10003,2012,4,1,6,14,0.428571428571429,"Cx. pipiens"
"136","Butte",10003,2012,5,1,9,28,0.321428571428571,"Cx. pipiens"
"137","Butte",10003,2012,6,1,6,7,0.857142857142857,"Cx. pipiens"
"138","Butte",10003,2012,7,1,20,21,0.952380952380952,"Cx. pipiens"
"139","Butte",10003,2012,9,1,14,14,1,"Cx. pipiens"
"140","Butte",10003,2012,10,1,16,21,0.761904761904762,"Cx. pipiens"
"141","Butte",10003,2012,11,1,4,7,0.571428571428571,"Cx. pipiens"
"142","Butte",10003,2013,4,1,2,6,0.333333333333333,"Cx. pipiens"
"143","Butte",10003,2013,6,1,7,14,0.5,"Cx. pipiens"
"144","Butte",10003,2013,8,1,6,7,0.857142857142857,"Cx. pipiens"
"145","Butte",10003,2013,9,1,24,21,1.14285714285714,"Cx. pipiens"
"146","Butte",10003,2014,4,1,5,21,0.238095238095238,"Cx. pipiens"
"147","Butte",10003,2014,5,1,10,21,0.476190476190476,"Cx. pipiens"
"148","Butte",10003,2014,6,1,12,7,1.71428571428571,"Cx. pipiens"
"149","Butte",10003,2015,3,1,1,7,0.142857142857143,"Cx. pipiens"
"150","Butte",10003,2015,4,1,15,21,0.714285714285714,"Cx. pipiens"
"151","Butte",10003,2015,7,1,88,7,12.5714285714286,"Cx. pipiens"
"152","Butte",10003,2015,8,1,4,7,0.571428571428571,"Cx. pipiens"
"153","Butte",10003,2015,9,1,7,14,0.5,"Cx. pipiens"
"154","Butte",10003,2016,5,1,3,14,0.214285714285714,"Cx. pipiens"
"155","Butte",10003,2016,10,1,2,7,0.285714285714286,"Cx. pipiens"
"156","Butte",10003,2018,7,1,6,14,0.428571428571429,"Cx. pipiens"
"157","Butte",10003,2018,8,1,8,14,0.571428571428571,"Cx. pipiens"
"158","Butte",10003,2019,8,1,4,7,0.571428571428571,"Cx. pipiens"
"159","Butte",10003,2020,6,1,6,21,0.285714285714286,"Cx. pipiens"
"160","Butte",10003,2020,7,1,8,7,1.14285714285714,"Cx. pipiens"
"161","Butte",10003,2021,10,1,1,7,0.142857142857143,"Cx. pipiens"
"162","Butte",10003,2021,11,1,1,7,0.142857142857143,"Cx. pipiens"
"163","Butte",10003,2022,4,1,2,14,0.142857142857143,"Cx. pipiens"
"164","Butte",10003,2022,5,1,3,7,0.428571428571429,"Cx. pipiens"
"165","Butte",10003,2022,6,1,32,7,4.57142857142857,"Cx. pipiens"
"166","Butte",10003,2022,10,1,2,7,0.285714285714286,"Cx. pipiens"
"167","Butte",10003,2023,6,1,2,7,0.285714285714286,"Cx. pipiens"
"168","Butte",10003,2023,10,1,1,7,0.142857142857143,"Cx. pipiens"
"169","Butte",10004,2003,5,1,160,7,22.8571428571429,"Cx. pipiens"
"170","Butte",10004,2005,4,1,2,7,0.285714285714286,"Cx. pipiens"
"171","Butte",10004,2005,5,1,7,7,1,"Cx. pipiens"
"172","Butte",10004,2009,3,1,5,14,0.357142857142857,"Cx. pipiens"
"173","Butte",10004,2009,4,1,4,7,0.571428571428571,"Cx. pipiens"
"174","Butte",10004,2009,5,1,40,14,2.85714285714286,"Cx. pipiens"
"175","Butte",10004,2009,6,1,27,21,1.28571428571429,"Cx. pipiens"
"176","Butte",10004,2009,7,1,140,21,6.66666666666667,"Cx. pipiens"
"177","Butte",10004,2009,8,1,21,14,1.5,"Cx. pipiens"
"178","Butte",10004,2009,9,1,3,7,0.428571428571429,"Cx. pipiens"
"179","Butte",10004,2009,10,1,6,14,0.428571428571429,"Cx. pipiens"
"180","Butte",10004,2009,11,1,2,7,0.285714285714286,"Cx. pipiens"
"181","Butte",10004,2010,4,1,3,7,0.428571428571429,"Cx. pipiens"
"182","Butte",10004,2010,5,1,9,21,0.428571428571429,"Cx. pipiens"
"183","Butte",10004,2010,6,1,36,21,1.71428571428571,"Cx. pipiens"
"184","Butte",10004,2011,6,1,8,7,1.14285714285714,"Cx. pipiens"
"185","Butte",10004,2011,7,1,14,14,1,"Cx. pipiens"
"186","Butte",10004,2011,8,1,32,7,4.57142857142857,"Cx. pipiens"
"187","Butte",10004,2011,9,1,16,7,2.28571428571429,"Cx. pipiens"
"188","Butte",10004,2011,10,1,10,14,0.714285714285714,"Cx. pipiens"
"189","Butte",10004,2012,4,1,1,7,0.142857142857143,"Cx. pipiens"
"190","Butte",10004,2012,5,1,17,14,1.21428571428571,"Cx. pipiens"
"191","Butte",10004,2012,7,1,36,14,2.57142857142857,"Cx. pipiens"
"192","Butte",10004,2012,9,1,3,7,0.428571428571429,"Cx. pipiens"
"193","Butte",10004,2012,10,1,68,14,4.85714285714286,"Cx. pipiens"
"194","Butte",10004,2013,4,1,5,7,0.714285714285714,"Cx. pipiens"
"195","Butte",10004,2013,8,1,24,14,1.71428571428571,"Cx. pipiens"
"196","Butte",10004,2014,4,1,7,21,0.333333333333333,"Cx. pipiens"
"197","Butte",10004,2014,5,1,16,21,0.761904761904762,"Cx. pipiens"
"198","Butte",10004,2014,6,1,24,7,3.42857142857143,"Cx. pipiens"
"199","Butte",10004,2014,9,1,8,7,1.14285714285714,"Cx. pipiens"
"200","Butte",10004,2015,4,1,3,7,0.428571428571429,"Cx. pipiens"
"201","Butte",10004,2015,5,1,2,7,0.285714285714286,"Cx. pipiens"
"202","Butte",10004,2015,6,1,8,7,1.14285714285714,"Cx. pipiens"
"203","Butte",10004,2015,9,1,2,7,0.285714285714286,"Cx. pipiens"
"204","Butte",10004,2016,4,1,1,7,0.142857142857143,"Cx. pipiens"
"205","Butte",10004,2017,4,1,2,7,0.285714285714286,"Cx. pipiens"
"206","Butte",10004,2017,6,1,128,7,18.2857142857143,"Cx. pipiens"
"207","Butte",10004,2020,4,1,2,7,0.285714285714286,"Cx. pipiens"
"208","Butte",10004,2021,5,1,8,7,1.14285714285714,"Cx. pipiens"
"209","Butte",10004,2021,6,1,16,7,2.28571428571429,"Cx. pipiens"
"210","Butte",10004,2021,7,1,8,7,1.14285714285714,"Cx. pipiens"
"211","Butte",10004,2022,4,1,1,7,0.142857142857143,"Cx. pipiens"
"212","Butte",10004,2022,5,1,16,14,1.14285714285714,"Cx. pipiens"
"213","Butte",10004,2022,6,1,8,7,1.14285714285714,"Cx. pipiens"
"214","Butte",10005,2003,5,1,1,7,0.142857142857143,"Cx. pipiens"
"215","Butte",10005,2003,6,1,14,28,0.5,"Cx. pipiens"
"216","Butte",10005,2003,7,1,64,7,9.14285714285714,"Cx. pipiens"
"217","Butte",10005,2003,8,1,48,14,3.42857142857143,"Cx. pipiens"
"218","Butte",10005,2003,11,1,5,14,0.357142857142857,"Cx. pipiens"
"219","Butte",10005,2004,5,1,2,7,0.285714285714286,"Cx. pipiens"
"220","Butte",10005,2004,6,1,4,7,0.571428571428571,"Cx. pipiens"
"221","Butte",10005,2004,7,1,128,7,18.2857142857143,"Cx. pipiens"
"222","Butte",10005,2004,8,1,256,14,18.2857142857143,"Cx. pipiens"
"223","Butte",10005,2005,4,1,4,14,0.285714285714286,"Cx. pipiens"
"224","Butte",10005,2005,5,1,10,7,1.42857142857143,"Cx. pipiens"
"225","Butte",10005,2005,7,1,28,7,4,"Cx. pipiens"
"226","Butte",10005,2006,4,1,13,14,0.928571428571429,"Cx. pipiens"
"227","Butte",10005,2006,5,1,26,7,3.71428571428571,"Cx. pipiens"
"228","Butte",10005,2008,6,1,118,21,5.61904761904762,"Cx. pipiens"
"229","Butte",10005,2009,3,1,5,14,0.357142857142857,"Cx. pipiens"
"230","Butte",10005,2009,4,1,10,21,0.476190476190476,"Cx. pipiens"
"231","Butte",10005,2009,6,1,12,14,0.857142857142857,"Cx. pipiens"
"232","Butte",10005,2009,7,1,64,14,4.57142857142857,"Cx. pipiens"
"233","Butte",10005,2009,8,1,80,14,5.71428571428571,"Cx. pipiens"
"234","Butte",10005,2010,4,1,1,7,0.142857142857143,"Cx. pipiens"
"235","Butte",10005,2010,5,1,4,14,0.285714285714286,"Cx. pipiens"
"236","Butte",10005,2010,7,1,4,7,0.571428571428571,"Cx. pipiens"
"237","Butte",10005,2010,8,1,4,7,0.571428571428571,"Cx. pipiens"
"238","Butte",10005,2010,9,1,16,7,2.28571428571429,"Cx. pipiens"
"239","Butte",10005,2010,10,1,12,21,0.571428571428571,"Cx. pipiens"
"240","Butte",10005,2010,11,1,10,14,0.714285714285714,"Cx. pipiens"
"241","Butte",10005,2011,5,1,1,7,0.142857142857143,"Cx. pipiens"
"242","Butte",10005,2011,6,1,1,7,0.142857142857143,"Cx. pipiens"
"243","Butte",10005,2011,7,1,84,14,6,"Cx. pipiens"
"244","Butte",10005,2011,8,1,152,21,7.23809523809524,"Cx. pipiens"
"245","Butte",10005,2011,10,1,4,7,0.571428571428571,"Cx. pipiens"
"246","Butte",10005,2012,5,1,4,14,0.285714285714286,"Cx. pipiens"
"247","Butte",10005,2012,7,1,136,28,4.85714285714286,"Cx. pipiens"
"248","Butte",10005,2012,8,1,42,14,3,"Cx. pipiens"
"249","Butte",10005,2012,10,1,12,14,0.857142857142857,"Cx. pipiens"
"250","Butte",10005,2012,11,1,2,7,0.285714285714286,"Cx. pipiens"
"251","Butte",10005,2013,7,1,8,7,1.14285714285714,"Cx. pipiens"
"252","Butte",10005,2014,5,1,2,14,0.142857142857143,"Cx. pipiens"
"253","Butte",10005,2014,6,1,20,7,2.85714285714286,"Cx. pipiens"
"254","Butte",10005,2014,7,1,16,7,2.28571428571429,"Cx. pipiens"
"255","Butte",10005,2015,4,1,7,21,0.333333333333333,"Cx. pipiens"
"256","Butte",10005,2015,7,1,18,14,1.28571428571429,"Cx. pipiens"
"257","Butte",10005,2015,9,1,2,7,0.285714285714286,"Cx. pipiens"
"258","Butte",10005,2015,11,1,3,7,0.428571428571429,"Cx. pipiens"
"259","Butte",10005,2017,6,1,32,7,4.57142857142857,"Cx. pipiens"
"260","Butte",10005,2018,8,1,12,7,1.71428571428571,"Cx. pipiens"
"261","Butte",10005,2019,4,1,1,7,0.142857142857143,"Cx. pipiens"
"262","Butte",10005,2019,5,1,2,7,0.285714285714286,"Cx. pipiens"
"263","Butte",10005,2019,7,1,12,7,1.71428571428571,"Cx. pipiens"
"264","Butte",10005,2019,8,1,18,7,2.57142857142857,"Cx. pipiens"
"265","Butte",10005,2019,9,1,6,7,0.857142857142857,"Cx. pipiens"
"266","Butte",10005,2019,10,1,10,14,0.714285714285714,"Cx. pipiens"
"267","Butte",10005,2019,11,1,2,7,0.285714285714286,"Cx. pipiens"
"268","Butte",10005,2020,5,1,9,21,0.428571428571429,"Cx. pipiens"
"269","Butte",10005,2020,9,1,32,14,2.28571428571429,"Cx. pipiens"
"270","Butte",10005,2021,5,1,1,7,0.142857142857143,"Cx. pipiens"
"271","Butte",10005,2021,6,1,128,7,18.2857142857143,"Cx. pipiens"
"272","Butte",10005,2022,4,1,3,7,0.428571428571429,"Cx. pipiens"
"273","Butte",10005,2022,5,1,4,7,0.571428571428571,"Cx. pipiens"
"274","Butte",10005,2023,5,1,2,7,0.285714285714286,"Cx. pipiens"
"275","Butte",10006,2003,4,1,3,14,0.214285714285714,"Cx. pipiens"
"276","Butte",10006,2003,5,1,28,36,0.777777777777778,"Cx. pipiens"
"277","Butte",10006,2003,6,1,149,28,5.32142857142857,"Cx. pipiens"
"278","Butte",10006,2003,7,1,16,14,1.14285714285714,"Cx. pipiens"
"279","Butte",10006,2003,8,1,39,14,2.78571428571429,"Cx. pipiens"
"280","Butte",10006,2003,9,1,372,56,6.64285714285714,"Cx. pipiens"
"281","Butte",10006,2003,10,1,83,14,5.92857142857143,"Cx. pipiens"
"282","Butte",10006,2003,11,1,34,21,1.61904761904762,"Cx. pipiens"
"283","Butte",10006,2004,4,1,7,21,0.333333333333333,"Cx. pipiens"
"284","Butte",10006,2004,5,1,80,35,2.28571428571429,"Cx. pipiens"
"285","Butte",10006,2004,6,1,343,63,5.44444444444444,"Cx. pipiens"
"286","Butte",10006,2004,7,1,285,49,5.81632653061224,"Cx. pipiens"
"287","Butte",10006,2004,8,1,538,35,15.3714285714286,"Cx. pipiens"
"288","Butte",10006,2004,9,1,211,28,7.53571428571429,"Cx. pipiens"
"289","Butte",10006,2004,10,1,91,28,3.25,"Cx. pipiens"
"290","Butte",10006,2004,11,1,2,7,0.285714285714286,"Cx. pipiens"
"291","Butte",10006,2005,4,1,36,21,1.71428571428571,"Cx. pipiens"
"292","Butte",10006,2005,5,1,120,35,3.42857142857143,"Cx. pipiens"
"293","Butte",10006,2005,6,1,40,21,1.9047619047619,"Cx. pipiens"
"294","Butte",10006,2005,7,1,334,56,5.96428571428571,"Cx. pipiens"
"295","Butte",10006,2005,8,1,285,70,4.07142857142857,"Cx. pipiens"
"296","Butte",10006,2005,9,1,164,56,2.92857142857143,"Cx. pipiens"
"297","Butte",10006,2005,10,1,129,56,2.30357142857143,"Cx. pipiens"
"298","Butte",10006,2005,11,1,9,21,0.428571428571429,"Cx. pipiens"
"299","Butte",10006,2006,4,1,15,21,0.714285714285714,"Cx. pipiens"
"300","Butte",10006,2006,5,1,115,63,1.82539682539683,"Cx. pipiens"
"301","Butte",10006,2006,6,1,269,35,7.68571428571429,"Cx. pipiens"
"302","Butte",10006,2006,7,1,28,21,1.33333333333333,"Cx. pipiens"
"303","Butte",10006,2006,8,1,32,28,1.14285714285714,"Cx. pipiens"
"304","Butte",10006,2006,9,1,40,28,1.42857142857143,"Cx. pipiens"
"305","Butte",10006,2006,10,1,38,28,1.35714285714286,"Cx. pipiens"
"306","Butte",10006,2007,4,1,38,28,1.35714285714286,"Cx. pipiens"
"307","Butte",10006,2007,5,1,97,28,3.46428571428571,"Cx. pipiens"
"308","Butte",10006,2007,6,1,2055,28,73.3928571428571,"Cx. pipiens"
"309","Butte",10006,2007,7,1,608,28,21.7142857142857,"Cx. pipiens"
"310","Butte",10006,2007,8,1,756,35,21.6,"Cx. pipiens"
"311","Butte",10006,2007,9,1,2096,28,74.8571428571429,"Cx. pipiens"
"312","Butte",10006,2007,10,1,310,28,11.0714285714286,"Cx. pipiens"
"313","Butte",10006,2008,4,1,110,28,3.92857142857143,"Cx. pipiens"
"314","Butte",10006,2008,5,1,394,28,14.0714285714286,"Cx. pipiens"
"315","Butte",10006,2008,6,1,918,28,32.7857142857143,"Cx. pipiens"
"316","Butte",10006,2008,7,1,519,35,14.8285714285714,"Cx. pipiens"
"317","Butte",10006,2008,8,1,7,21,0.333333333333333,"Cx. pipiens"
"318","Butte",10006,2008,9,1,7,14,0.5,"Cx. pipiens"
"319","Butte",10006,2008,10,1,8,21,0.380952380952381,"Cx. pipiens"
"320","Butte",10006,2009,3,1,3,7,0.428571428571429,"Cx. pipiens"
"321","Butte",10006,2009,4,1,8,14,0.571428571428571,"Cx. pipiens"
"322","Butte",10006,2009,5,1,50,28,1.78571428571429,"Cx. pipiens"
"323","Butte",10006,2009,6,1,541,35,15.4571428571429,"Cx. pipiens"
"324","Butte",10006,2009,7,1,316,28,11.2857142857143,"Cx. pipiens"
"325","Butte",10006,2009,8,1,36,28,1.28571428571429,"Cx. pipiens"
"326","Butte",10006,2009,9,1,16,28,0.571428571428571,"Cx. pipiens"
"327","Butte",10006,2009,10,1,13,21,0.619047619047619,"Cx. pipiens"
"328","Butte",10006,2009,11,1,1,7,0.142857142857143,"Cx. pipiens"
"329","Butte",10006,2010,4,1,4,21,0.19047619047619,"Cx. pipiens"
"330","Butte",10006,2010,5,1,4,14,0.285714285714286,"Cx. pipiens"
"331","Butte",10006,2010,6,1,23,28,0.821428571428571,"Cx. pipiens"
"332","Butte",10006,2010,7,1,64,28,2.28571428571429,"Cx. pipiens"
"333","Butte",10006,2010,8,1,16,35,0.457142857142857,"Cx. pipiens"
"334","Butte",10006,2010,9,1,14,28,0.5,"Cx. pipiens"
"335","Butte",10006,2010,10,1,17,28,0.607142857142857,"Cx. pipiens"
"336","Butte",10006,2010,11,1,8,14,0.571428571428571,"Cx. pipiens"
"337","Butte",10006,2011,5,1,14,35,0.4,"Cx. pipiens"
"338","Butte",10006,2011,6,1,34,21,1.61904761904762,"Cx. pipiens"
"339","Butte",10006,2011,7,1,71,28,2.53571428571429,"Cx. pipiens"
"340","Butte",10006,2011,8,1,29,28,1.03571428571429,"Cx. pipiens"
"341","Butte",10006,2011,9,1,11,21,0.523809523809524,"Cx. pipiens"
"342","Butte",10006,2011,10,1,9,21,0.428571428571429,"Cx. pipiens"
"343","Butte",10006,2011,11,1,1,7,0.142857142857143,"Cx. pipiens"
"344","Butte",10006,2012,5,1,3,21,0.142857142857143,"Cx. pipiens"
"345","Butte",10006,2012,6,1,3,14,0.214285714285714,"Cx. pipiens"
"346","Butte",10006,2012,7,1,14,28,0.5,"Cx. pipiens"
"347","Butte",10006,2012,8,1,6,14,0.428571428571429,"Cx. pipiens"
"348","Butte",10006,2012,9,1,3,14,0.214285714285714,"Cx. pipiens"
"349","Butte",10006,2012,10,1,9,21,0.428571428571429,"Cx. pipiens"
"350","Butte",10006,2013,4,1,1,7,0.142857142857143,"Cx. pipiens"
"351","Butte",10006,2013,5,1,2,7,0.285714285714286,"Cx. pipiens"
